,SHB-481,로터리,일반,B,JKA,S,0,0,K,480,270,250,1535,522,,,#VALUE!,,,,,
,AP10 외포장 박스,로터리,일반,B,KA180,S,0,0,K,481,318,434,1633,754,,,#VALUE!,,,,,
,세화3호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,482,318,501,1635,821,,,#VALUE!,,,,,
,세화W 5호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,482,318,421,1635,741,,,#VALUE!,,,,,
,테스트,로터리,일반,B,JKA,S,0,0,JKA,483,250,815,1501,1065,,,#VALUE!,,,,,
,세화1-1호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,490,318,378,1651,698,,,#VALUE!,,,,,
,세화271 외포장 박스,로터리,일반,B,KA180,S,0,0,K,492,473,401,1965,876,,,#VALUE!,,,,,
,AP3 외포장 박스,로터리,일반,B,KA180,S,0,0,K,492,318,353,1655,673,,,#VALUE!,,,,,
,세화W 10호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,497,318,434,1665,754,,,#VALUE!,,,,,
,SHB-501,로터리,일반,A,JKA,0,0,S,K,500,400,300,1835,702,,,#VALUE!,,,,,
,SHB-502,로터리,일반,BA,JKA,S,S,S,K,500,500,500,2035,1004,,,#VALUE!,,,,,
,세화281 외포장 박스,로터리,일반,B,KA180,S,0,0,K,502,318,446,1675,766,,,#VALUE!,,,,,
,A-2 외포장 박스,로터리,일반,B,KA180,S,0,0,K,502,326,344,1691,672,,,#VALUE!,,,,,
,A261 외포장 박스,로터리,일반,B,KA180,S,0,0,K,502,220,434,1479,656,,,#VALUE!,,,,,
,AP261 외포장 박스,로터리,일반,B,KA180,S,0,0,K,502,318,426,1675,746,,,#VALUE!,,,,,
,AP6 외포장 박스,로터리,일반,B,KA180,S,0,0,K,502,318,501,1675,821,,,#VALUE!,,,,,
,SHB-511,로터리,일반,A,JKA,0,0,S,K,510,400,180,1855,582,,,#VALUE!,,,,,
,세화261 외포장 박스,로터리,일반,B,KA180,S,0,0,K,511,473,390,2003,865,,,#VALUE!,,,,,
,세화252 외포장 박스,로터리,일반,B,KA180,S,0,0,K,512,318,456,1695,776,,,#VALUE!,,,,,
,세화253 외포장 박스,로터리,일반,B,KA180,S,0,0,K,512,318,516,1695,836,,,#VALUE!,,,,,
,세화291 외포장 박스,로터리,일반,B,KA180,S,0,0,K,512,473,346,2005,821,,,#VALUE!,,,,,
,세화301 외포장 박스,로터리,일반,B,KA180,S,0,0,K,512,473,336,2005,811,,,#VALUE!,,,,,
,AP37 외포장 박스,로터리,일반,B,KA180,S,0,0,K,519,318,353,1709,673,,,#VALUE!,,,,,
,우체국6호(5매),로터리,일반,BA,JKA,S,S,S,K,520,480,400,2035,884,,,#VALUE!,,,,,
,SHB-521,로터리,일반,A,JKA,0,0,S,K,520,370,420,1815,792,,,#VALUE!,,,,,
,SHB-522,로터리,일반,BA,JKA,S,S,S,K,520,400,400,1875,804,,,#VALUE!,,,,,
,세화2호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,522,318,426,1715,746,,,#VALUE!,,,,,
,A-3 외포장 박스,로터리,일반,B,KA180,S,0,0,K,522,326,394,1731,722,,,#VALUE!,,,,,
,세화W 13호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,527,240,581,1569,823,,,#VALUE!,,,,,
,세화W 7호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,529,318,518,1729,838,,,#VALUE!,,,,,
,SHB-202 외포장 박스,로터리,일반,A,KA180,0,0,S,K,530,342,274,1779,618,,,#VALUE!,,,,,
